Protein,Gene,ALS_1_T1_MaxLFQ_Intensity,ALS_1_T2_MaxLFQ_Intensity,ALS_1_T3_MaxLFQ_Intensity,ALS_1_T4_MaxLFQ_Intensity,ALS_2_T1_MaxLFQ_Intensity,ALS_2_T2_MaxLFQ_Intensity,ALS_2_T3_MaxLFQ_Intensity,ALS_2_T4_MaxLFQ_Intensity,ALS_3_T1_MaxLFQ_Intensity,ALS_3_T2_MaxLFQ_Intensity,ALS_3_T3_MaxLFQ_Intensity,ALS_3_T4_MaxLFQ_Intensity,ALS_4_T1_MaxLFQ_Intensity,ALS_4_T2_MaxLFQ_Intensity,ALS_4_T3_MaxLFQ_Intensity,ALS_4_T4_MaxLFQ_Intensity,ALS_5_T1_MaxLFQ_Intensity,ALS_5_T2_MaxLFQ_Intensity,ALS_5_T3_MaxLFQ_Intensity,ALS_5_T4_MaxLFQ_Intensity,ALS_6_T1_MaxLFQ_Intensity,ALS_6_T2_MaxLFQ_Intensity,ALS_6_T3_MaxLFQ_Intensity,ALS_6_T4_MaxLFQ_Intensity,ALS_7_T1_MaxLFQ_Intensity,ALS_7_T2_MaxLFQ_Intensity,ALS_7_T3_MaxLFQ_Intensity,ALS_7_T4_MaxLFQ_Intensity,ALS_8_T1_MaxLFQ_Intensity,ALS_8_T2_MaxLFQ_Intensity,ALS_8_T3_MaxLFQ_Intensity,ALS_8_T4_MaxLFQ_Intensity,ALS_9_T1_MaxLFQ_Intensity,ALS_9_T2_MaxLFQ_Intensity,ALS_9_T3_MaxLFQ_Intensity,ALS_9_T4_MaxLFQ_Intensity,ALS_10_T1_MaxLFQ_Intensity,ALS_10_T2_MaxLFQ_Intensity,ALS_10_T3_MaxLFQ_Intensity,ALS_10_T4_MaxLFQ_Intensity,Control_1_MaxLFQ_Intensity,Control_2_MaxLFQ_Intensity,Control_3_MaxLFQ_Intensity,Control_4_MaxLFQ_Intensity,Control_5_MaxLFQ_Intensity,Control_6_MaxLFQ_Intensity,Control_7_MaxLFQ_Intensity,Control_8_MaxLFQ_Intensity,Control_9_MaxLFQ_Intensity,Control_10_MaxLFQ_Intensity
sp|A0A087WSY6|KVD15_HUMAN,IGKV3D-15,21.567759731412437,21.358996932103377,21.526104653200857,21.49514200698659,22.176080010179685,22.387001895617065,22.169635198178614,21.813146282966848,,,,,20.402423592237348,20.58910794911302,20.49922720032759,20.714446918385843,20.421488705145386,20.355390361838943,20.520632250366265,20.436958628480994,,,,,21.422480485986256,21.04088776641388,21.502136713515092,21.739120851767055,22.102878915791067,22.306399625793095,22.141221995537553,21.499433052392916,21.810615626052677,21.867397071071697,21.320705909084847,21.35914406722236,,,,,22.84653103852527,22.268311701887725,21.113567283520478,20.394693361692653,22.772206793591305,20.59929634590057,21.99877517686231,21.853390080997194,21.929425184892775,22.18798113204411
sp|A0A0A0MRZ8|KVD11_HUMAN,IGKV3D-11,24.286361312733444,24.36604523108838,24.03604975605612,24.19605340936798,24.130991161520516,23.995951274266183,24.167529302329182,23.927508272650176,23.54033211514268,23.5990241424431,23.624943597056888,23.584682729490922,23.01022722849289,23.105201076504787,23.281870401502,23.3662750007112,,22.78273182181438,22.594463114115502,22.946418667714823,22.95046137220044,23.121777935857015,23.00669401627209,23.199179020068062,23.334739033460888,23.468214463533023,23.613475093611875,23.686913614456675,24.274520468639498,24.647729958948837,24.459872957164766,23.21272098047877,23.668400803189407,23.390372907611788,23.09818172358513,23.091921017648303,23.446338077254833,23.26389203271777,23.5433388461663,23.1591347195761,25.073714731292966,24.067893972196064,23.27989896846829,22.900254533742007,23.78290427282961,22.636976713388357,24.2244392515348,24.353848774212313,24.327643550175083,24.07335465617448
sp|A0A0A0MS15|HV349_HUMAN,IGHV3-49,20.62206871563682,,20.39520832473781,20.43273201004834,20.86872289784958,20.832642244090724,20.612298618096915,20.599825396701334,20.32020138690035,20.660891708787755,20.7060709217022,19.917540329226338,21.03459023129155,20.89757875813039,20.99086795254521,20.935462388283426,,,,,21.414643602700934,21.147473820860547,21.157941778797223,21.382361755859744,,,,,21.57950238303875,21.67458339024401,21.191101799682375,21.329272230450105,20.857583608316794,20.938984544175632,20.327775087312617,20.29878910437968,19.59132244807486,19.49961921501743,19.793649787647215,19.30207172100212,22.60133377661173,21.75579693725855,20.975611237529026,20.06346007779372,21.760501106109427,21.333527798215346,21.954550699664125,21.73618597635949,,21.84668102902059
sp|A0A0A0MT89|KJ01_HUMAN,IGKJ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A0B4J1U3|LV136_HUMAN,IGLV1-36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A0B4J1U7|HV601_HUMAN,IGHV6-1,21.8358314483045,22.02052862953716,22.00056935333414,21.739777995362985,21.276486100124274,21.669831120199316,21.71558531686976,21.71266218799403,19.656411290005114,19.198633250757123,20.947431676267318,19.599571275417617,,,,,21.235605528987477,21.48450495927234,20.690297037062848,21.893431917044687,21.83384040239243,21.49530015115216,21.62387660108069,21.605412878131656,22.631197976864893,22.959022609358936,23.38370360790041,21.886168403946435,22.907783548527686,22.12979321893429,23.71408996634405,23.737408196935124,,,,,22.441020205961262,22.42090040201178,22.564415977013233,22.325710245373116,23.357104252001182,21.32257872656028,20.82064110380788,20.130225284788196,23.041457138519878,21.922720714537842,23.058616321414718,21.912075431005963,22.42740277561171,22.031377987087964
sp|A0A0B4J1V0|HV315_HUMAN,IGHV3-15,22.995449581132412,25.41845612001872,22.950820507782417,25.394669757330185,24.204806173446165,23.91080616328883,23.641939810073,23.17171388385799,25.445659892179098,25.314104169363677,25.369527620818147,25.875319008766407,,,,,,,,,24.14647705417643,23.112389812720597,23.10289097399618,23.463936569376774,24.67171461566299,23.638940001052642,23.097332898369316,23.382862808677764,25.31042745913073,25.405119455186657,25.897664553158243,23.710333599083114,23.44469923292008,23.28311605494311,22.97111739238054,23.08509549309952,23.790194295538658,23.8728709378061,23.486003237981357,23.766055414337487,25.05007293112171,23.96494499062882,23.836469180338046,24.515002257803037,25.287176027027787,23.728302338829494,25.53641184695147,24.3934915792577,25.25809712063525,24.6413161503241
sp|A0A0B4J1V1|HV321_HUMAN,IGHV3-21,,,,,,,,,,,,,,,,,20.93567146068254,21.201748066682182,22.267827224528617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A0B4J1V2|HV226_HUMAN,IGHV2-26,,,,,18.81329415966687,19.44476236586184,19.190243732713665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|A0A0B4J1Y9|HV372_HUMAN,IGHV3-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.853536418933462,,18.656903702724687,19.365937265151665,,,,,,,,,,,,,,,,,,
