Protein,Gene,ALS_1_T1_MaxLFQ_Intensity,ALS_1_T2_MaxLFQ_Intensity,ALS_1_T3_MaxLFQ_Intensity,ALS_1_T4_MaxLFQ_Intensity,ALS_2_T1_MaxLFQ_Intensity,ALS_2_T2_MaxLFQ_Intensity,ALS_2_T3_MaxLFQ_Intensity,ALS_2_T4_MaxLFQ_Intensity,ALS_3_T1_MaxLFQ_Intensity,ALS_3_T2_MaxLFQ_Intensity,ALS_3_T3_MaxLFQ_Intensity,ALS_3_T4_MaxLFQ_Intensity,ALS_4_T1_MaxLFQ_Intensity,ALS_4_T2_MaxLFQ_Intensity,ALS_4_T3_MaxLFQ_Intensity,ALS_4_T4_MaxLFQ_Intensity,ALS_5_T1_MaxLFQ_Intensity,ALS_5_T2_MaxLFQ_Intensity,ALS_5_T3_MaxLFQ_Intensity,ALS_5_T4_MaxLFQ_Intensity,ALS_6_T1_MaxLFQ_Intensity,ALS_6_T2_MaxLFQ_Intensity,ALS_6_T3_MaxLFQ_Intensity,ALS_6_T4_MaxLFQ_Intensity,ALS_7_T1_MaxLFQ_Intensity,ALS_7_T2_MaxLFQ_Intensity,ALS_7_T3_MaxLFQ_Intensity,ALS_7_T4_MaxLFQ_Intensity,ALS_8_T1_MaxLFQ_Intensity,ALS_8_T2_MaxLFQ_Intensity,ALS_8_T3_MaxLFQ_Intensity,ALS_8_T4_MaxLFQ_Intensity,ALS_9_T1_MaxLFQ_Intensity,ALS_9_T2_MaxLFQ_Intensity,ALS_9_T3_MaxLFQ_Intensity,ALS_9_T4_MaxLFQ_Intensity,ALS_10_T1_MaxLFQ_Intensity,ALS_10_T2_MaxLFQ_Intensity,ALS_10_T3_MaxLFQ_Intensity,ALS_10_T4_MaxLFQ_Intensity,ALS_11_T1_MaxLFQ_Intensity,ALS_11_T2_MaxLFQ_Intensity,ALS_11_T3_MaxLFQ_Intensity,ALS_11_T4_MaxLFQ_Intensity,Control_1_MaxLFQ_Intensity,Control_2_MaxLFQ_Intensity,Control_3_MaxLFQ_Intensity,Control_4_MaxLFQ_Intensity,Control_5_MaxLFQ_Intensity,Control_6_MaxLFQ_Intensity,Control_7_MaxLFQ_Intensity,Control_8_MaxLFQ_Intensity,Control_9_MaxLFQ_Intensity,Control_10_MaxLFQ_Intensity
sp|O95502|NPTXR_HUMAN,NPTXR,4591949.0,4895005.5,4649315.5,5939790.5,8589003.0,7634952.0,5582588.0,5639714.0,803075.25,1106871.2,931300.7,822557.06,7214858.0,7711814.0,7623869.0,7459573.5,7610333.0,6575778.5,6819926.0,8307335.0,5211977.0,4345894.5,5294313.5,4575884.0,4952316.5,5747997.0,4905927.0,5245389.0,2460241.0,2202276.5,2595951.8,1652056.8,3913766.8,3661454.0,4593775.0,5503508.0,3270942.8,2703575.2,2382793.0,2111637.2,2225581.8,2634167.5,1907602.0,2480698.0,4511422.5,4253098.0,6377156.5,9919917.0,4539856.5,7672135.5,5218385.0,2912356.5,3779296.2,4459005.5
sp|O95758|PTBP3_HUMAN,PTBP3,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp|P00338|LDHA_HUMAN,LDHA,513433.2,690744.6,1177123.9,1217397.1,1298351.0,1290513.6,831957.25,1171122.9,284119.5,459955.47,276389.38,806799.44,701504.8,621004.25,703713.7,1238555.6,1200053.4,786510.0,1550486.4,797865.9,1345367.9,625055.0,849464.2,1202848.8,695768.6,1152565.4,603124.44,616573.25,605837.94,1358379.9,1032932.8,815524.1,682811.5,492941.22,938567.0,1172508.9,1206651.2,563997.9,701938.6,646285.44,,,,,1228334.2,534569.9,441775.53,855333.44,674682.6,1594270.8,585229.0,805145.2,866855.6,650703.0
sp|P00441|SODC_HUMAN,SOD1,21435364.0,28235652.0,24848672.0,22267750.0,38613684.0,37492320.0,36087124.0,33889976.0,5125826.5,3291293.8,5635334.5,6940557.5,26518722.0,27730292.0,29536580.0,24610654.0,28359154.0,31340688.0,33570476.0,35942736.0,23867270.0,25304892.0,8517572.0,20584480.0,9639702.0,19501908.0,19683550.0,9360707.0,6137509.0,16527951.0,14044601.0,4896257.5,8611365.0,9310334.0,25292902.0,21004676.0,16419062.0,11447932.0,17514694.0,18838224.0,13171105.0,9276957.0,11522035.0,17583984.0,12058651.0,15820496.0,21457824.0,35295780.0,20381558.0,27749088.0,28358038.0,15121835.0,8351221.5,22852834.0
sp|P00450|CERU_HUMAN,CP,42853660.0,40279328.0,32517004.0,36579572.0,17464786.0,14475944.0,21187390.0,21326320.0,27005690.0,25580658.0,26065402.0,21660234.0,29696542.0,33684704.0,30893660.0,31303526.0,37026684.0,43619852.0,33813004.0,42092864.0,21674642.0,21525114.0,25600662.0,24157406.0,30231748.0,25104100.0,25457184.0,28467532.0,37527420.0,37716920.0,34657180.0,43211396.0,22396140.0,20049656.0,20407050.0,22223286.0,33631188.0,37850232.0,34480844.0,33627272.0,24025066.0,25055868.0,24983444.0,22943276.0,32485832.0,25252596.0,22285572.0,14545603.0,31562214.0,25667984.0,18282302.0,29533794.0,36084416.0,29317694.0
sp|P00505|AATM_HUMAN,GOT2,0.0,0.0,0.0,0.0,372704.66,412205.88,0.0,306402.7,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|P00558|PGK1_HUMAN,PGK1,187622.42,0.0,336517.53,426347.3,691738.0,613091.3,300169.94,280341.94,,,,,0.0,0.0,0.0,0.0,527756.25,264730.88,629979.1,295778.9,496606.0,378383.1,445233.28,461199.03,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sp|P00734|THRB_HUMAN,F2,5274034.5,3617797.8,2407229.8,1679170.6,4020365.5,3706264.2,4948921.5,5243103.0,4662319.5,987150.6,1882431.0,7038433.5,5205985.5,2212420.5,5250646.5,4966683.5,4533056.5,7199034.0,4973882.5,5275460.0,4478248.5,7665037.5,9101570.0,3001827.8,5051627.0,1515775.1,4770765.5,1131666.2,4679854.5,4850269.0,2964420.8,4972204.0,2389125.0,3893659.8,3459365.2,3559337.2,588741.0,6191321.5,7180753.0,7561316.0,1930726.1,4581001.5,5077011.0,4310632.5,2044898.6,4195548.5,4585952.5,5011235.5,7088628.5,2745946.2,3668600.8,6257199.5,6126870.5,4467416.0
sp|P00736|C1R_HUMAN,C1R,218374576.0,220673552.0,199755712.0,206055632.0,217692064.0,218524352.0,250726880.0,282591808.0,265209232.0,215869936.0,226727504.0,248170848.0,237909872.0,252407584.0,247937392.0,210249824.0,262150048.0,284797024.0,253829840.0,266950128.0,185883600.0,229800256.0,283188064.0,163340240.0,240608272.0,152882144.0,184623520.0,242544384.0,260503184.0,166926832.0,163628720.0,270902656.0,3807799.2,3179714.2,2820730.0,3532752.2,258051376.0,425719136.0,307794496.0,326677536.0,2367085.5,2117544.2,2209245.2,2597806.2,190454336.0,318325120.0,241062112.0,205285792.0,207311488.0,148575664.0,269534528.0,226336240.0,264235664.0,239084464.0
sp|P00738|HPT_HUMAN,HP,14914721.0,15835159.0,14201526.0,15867181.0,54075968.0,44517196.0,61357364.0,56614080.0,33214886.0,25771544.0,41812984.0,49841504.0,45782564.0,44235164.0,49779480.0,49726580.0,37947584.0,44739864.0,42892384.0,39869372.0,76563680.0,77369096.0,47709992.0,89861552.0,18424922.0,12243641.0,18193356.0,12175457.0,60478120.0,95868232.0,90035712.0,46701492.0,6222919.0,3955526.5,7276077.0,8756159.0,49663044.0,52807200.0,59682368.0,77333584.0,40456468.0,41824396.0,43005880.0,33623192.0,206109472.0,7422197.0,8081284.0,26721456.0,145326160.0,68363880.0,54762564.0,51773596.0,30380716.0,101584512.0
